symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMZN,2023-06-01 00:00:00+00:00,122.77,123.49,119.93,120.69,54375131,122.77,123.49,119.93,120.69,54375131,0.0,1.0
AMZN,2023-06-02 00:00:00+00:00,124.25,126.39,124.015,124.92,61264414,124.25,126.39,124.015,124.92,61264414,0.0,1.0
AMZN,2023-06-05 00:00:00+00:00,125.3,125.8,123.03,123.36,47950128,125.3,125.8,123.03,123.36,47950128,0.0,1.0
AMZN,2023-06-06 00:00:00+00:00,126.61,127.4,125.0,125.07,45695212,126.61,127.4,125.0,125.07,45695212,0.0,1.0
AMZN,2023-06-07 00:00:00+00:00,121.23,127.365,120.63,127.01,95663275,121.23,127.365,120.63,127.01,95663275,0.0,1.0
AMZN,2023-06-08 00:00:00+00:00,124.25,125.625,122.2579,123.01,62159270,124.25,125.625,122.2579,123.01,62159270,0.0,1.0
AMZN,2023-06-09 00:00:00+00:00,123.43,125.8,123.19,124.08,51396018,123.43,125.8,123.19,124.08,51396018,0.0,1.0
AMZN,2023-06-12 00:00:00+00:00,126.57,126.78,123.53,124.02,51473376,126.57,126.78,123.53,124.02,51473376,0.0,1.0
AMZN,2023-06-13 00:00:00+00:00,126.66,128.41,125.18,128.12,50564785,126.66,128.41,125.18,128.12,50564785,0.0,1.0
AMZN,2023-06-14 00:00:00+00:00,126.42,126.95,124.12,126.7,52422463,126.42,126.95,124.12,126.7,52422463,0.0,1.0
AMZN,2023-06-15 00:00:00+00:00,127.11,127.69,124.32,125.21,60458471,127.11,127.69,124.32,125.21,60458471,0.0,1.0
AMZN,2023-06-16 00:00:00+00:00,125.49,127.9,125.3,127.71,84247104,125.49,127.9,125.3,127.71,84247104,0.0,1.0
AMZN,2023-06-20 00:00:00+00:00,125.78,127.25,124.5,124.97,56930122,125.78,127.25,124.5,124.97,56930122,0.0,1.0
AMZN,2023-06-21 00:00:00+00:00,124.83,126.73,123.85,125.64,52137670,124.83,126.73,123.85,125.64,52137670,0.0,1.0
AMZN,2023-06-22 00:00:00+00:00,130.15,130.33,125.14,125.31,90354572,130.15,130.33,125.14,125.31,90354572,0.0,1.0
AMZN,2023-06-23 00:00:00+00:00,129.33,130.84,128.28,129.11,71927776,129.33,130.84,128.28,129.11,71927776,0.0,1.0
AMZN,2023-06-26 00:00:00+00:00,127.33,131.49,127.1,129.33,59989317,127.33,131.49,127.1,129.33,59989317,0.0,1.0
AMZN,2023-06-27 00:00:00+00:00,129.18,130.085,127.55,128.63,46801008,129.18,130.085,127.55,128.63,46801008,0.0,1.0
AMZN,2023-06-28 00:00:00+00:00,129.04,131.48,128.44,128.94,52149512,129.04,131.48,128.44,128.94,52149512,0.0,1.0
AMZN,2023-06-29 00:00:00+00:00,127.9,129.26,127.255,128.77,40760959,127.9,129.26,127.255,128.77,40760959,0.0,1.0
AMZN,2023-06-30 00:00:00+00:00,130.36,131.245,128.95,129.47,54350684,130.36,131.245,128.95,129.47,54350684,0.0,1.0
AMZN,2023-07-03 00:00:00+00:00,130.22,131.85,130.065,130.82,28264785,130.22,131.85,130.065,130.82,28264785,0.0,1.0
AMZN,2023-07-05 00:00:00+00:00,130.38,131.4,129.64,130.24,35895409,130.38,131.4,129.64,130.24,35895409,0.0,1.0
AMZN,2023-07-06 00:00:00+00:00,128.36,128.73,127.37,128.25,40697848,128.36,128.73,127.37,128.25,40697848,0.0,1.0
AMZN,2023-07-07 00:00:00+00:00,129.78,130.97,128.1294,128.59,41992251,129.78,130.97,128.1294,128.59,41992251,0.0,1.0
AMZN,2023-07-10 00:00:00+00:00,127.13,129.28,125.915,129.07,61889289,127.13,129.28,125.915,129.07,61889289,0.0,1.0
