symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2023-06-01 00:00:00+00:00,332.58,333.53,324.72,325.93,26773851,330.0131615242,330.9558294641,322.2138246742,323.414485945,26773851,0.0,1.0
MSFT,2023-06-02 00:00:00+00:00,335.4,337.5,332.55,334.247,25873769,332.8113968826,334.8951891708,329.9833930629,331.6672956882,25873769,0.0,1.0
MSFT,2023-06-05 00:00:00+00:00,335.94,338.5599,334.6601,335.22,21307053,333.3472291853,335.9469089071,332.0772073997,332.632786115,21307053,0.0,1.0
MSFT,2023-06-06 00:00:00+00:00,333.68,335.37,332.17,335.33,20396223,331.1046717704,332.7816284213,329.606325887,332.7419371396,20396223,0.0,1.0
MSFT,2023-06-07 00:00:00+00:00,323.38,334.49,322.5,331.65,40717129,320.8841667379,331.9084202244,320.0109585409,329.0903392251,40717129,0.0,1.0
MSFT,2023-06-08 00:00:00+00:00,325.26,326.64,323.35,323.935,23277708,322.7496569768,324.1190061948,320.8543982766,321.4348832712,23277708,0.0,1.0
MSFT,2023-06-09 00:00:00+00:00,326.79,329.99,324.41,324.99,22528950,324.2678485011,327.4431510354,321.9062172411,322.4817408255,22528950,0.0,1.0
MSFT,2023-06-12 00:00:00+00:00,331.85,332.0999,325.16,328.58,24306753,329.2887956335,329.5367669158,322.6504287726,326.0440333562,24306753,0.0,1.0
MSFT,2023-06-13 00:00:00+00:00,334.29,336.98,330.39,334.465,22951279,331.709963816,334.3792025089,327.8400638522,331.8836131733,22951279,0.0,1.0
MSFT,2023-06-14 00:00:00+00:00,337.34,339.04,332.81,334.34,26003791,334.736424044,336.4233035154,330.2413863938,331.7595779181,26003791,0.0,1.0
MSFT,2023-06-15 00:00:00+00:00,348.1,349.84,337.2,337.48,38899075,345.4133788158,347.1399495689,334.5975045582,334.8753435299,38899075,0.0,1.0
MSFT,2023-06-16 00:00:00+00:00,342.33,351.47,341.95,351.32,46551985,339.6879114336,348.7573692973,339.3108442576,348.608526991,46551985,0.0,1.0
MSFT,2023-06-20 00:00:00+00:00,338.05,342.08,335.86,339.31,26375407,335.4409442938,339.4398409231,333.2678466219,336.6912196667,26375407,0.0,1.0
MSFT,2023-06-21 00:00:00+00:00,333.56,337.73,332.07,336.37,25117799,330.9855979253,335.1234140404,329.5070976828,333.7739104633,25117799,0.0,1.0
MSFT,2023-06-22 00:00:00+00:00,339.71,340.12,333.34,334.12,23556764,337.0881324835,337.4949681208,330.7672958761,331.5412758688,23556764,0.0,1.0
MSFT,2023-06-23 00:00:00+00:00,335.02,337.96,333.45,334.36,23146901,332.4343297066,335.3516389101,330.8764469007,331.7794235589,23146901,0.0,1.0
MSFT,2023-06-26 00:00:00+00:00,328.6,336.11,328.49,333.72,21520582,326.0638789971,333.5159171324,325.9547279724,331.144363052,21520582,0.0,1.0
MSFT,2023-06-27 00:00:00+00:00,334.57,336.15,329.3,331.86,24354110,331.9878027877,333.5556084141,326.7584764265,329.2987184539,24354110,0.0,1.0
MSFT,2023-06-28 00:00:00+00:00,335.85,337.98,333.81,334.66,20259523,333.2579238015,335.3714845509,331.2336684358,332.0771081715,20259523,0.0,1.0
MSFT,2023-06-29 00:00:00+00:00,335.05,336.11,332.62,334.71,16997042,332.4640981679,333.5159171324,330.0528528059,332.1267222736,16997042,0.0,1.0
MSFT,2023-06-30 00:00:00+00:00,340.54,342.73,337.2,337.75,26832756,337.9117265784,340.0848242503,334.5975045582,335.1432596812,26832756,0.0,1.0
MSFT,2023-07-03 00:00:00+00:00,337.99,340.9,336.571,339.19,12508692,335.3814073713,338.2689481135,333.9733591537,336.5721458217,12508692,0.0,1.0
MSFT,2023-07-05 00:00:00+00:00,338.15,341.65,334.7276,335.09,18172378,335.540172498,339.013159645,332.1441864375,332.5037894496,18172378,0.0,1.0
MSFT,2023-07-06 00:00:00+00:00,341.27,342.99,335.5,337.3,28195534,338.636092469,340.3428175813,332.9106250868,334.6967327624,28195534,0.0,1.0
MSFT,2023-07-07 00:00:00+00:00,337.22,341.79,337.0,339.32,21214824,334.617350199,339.1520791309,334.3990481498,336.7011424872,21214824,0.0,1.0
MSFT,2023-07-10 00:00:00+00:00,331.83,335.23,327.59,334.6,32791449,329.2689499927,332.6427089354,325.0616741347,332.017571249,32791449,0.0,1.0
MSFT,2023-07-11 00:00:00+00:00,332.47,332.86,327.0,331.06,26698218,329.9040104996,330.2910004959,324.4762277299,328.5048928204,26698218,0.0,1.0
MSFT,2023-07-12 00:00:00+00:00,337.2,341.652,335.67,336.6,29995262,334.5975045582,339.0151442091,333.0793130339,334.002135333,29995262,0.0,1.0
MSFT,2023-07-13 00:00:00+00:00,342.66,343.74,339.02,339.56,20567159,340.0153645074,341.0870291128,336.4034578746,336.9392901772,20567159,0.0,1.0
MSFT,2023-07-14 00:00:00+00:00,345.24,351.43,344.31,347.59,28352729,342.5754521757,348.7176780156,341.6526298767,344.9073149744,28352729,0.0,1.0
MSFT,2023-07-17 00:00:00+00:00,345.73,346.99,342.2,345.678,20363927,343.0616703763,344.3119457492,339.5589147681,343.0100717101,20363927,0.0,1.0
