symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2023-06-01 00:00:00+00:00,207.52,209.8,199.37,202.59,148029931,207.52,209.8,199.37,202.59,148029931,0.0,1.0
TSLA,2023-06-02 00:00:00+00:00,213.97,217.25,209.752,210.15,164398372,213.97,217.25,209.752,210.15,164398372,0.0,1.0
TSLA,2023-06-05 00:00:00+00:00,217.61,221.29,214.52,217.8,151143052,217.61,221.29,214.52,217.8,151143052,0.0,1.0
TSLA,2023-06-06 00:00:00+00:00,221.31,221.91,212.53,216.14,146911576,221.31,221.91,212.53,216.14,146911576,0.0,1.0
TSLA,2023-06-07 00:00:00+00:00,224.57,230.8296,223.2,228.0,185710777,224.57,230.8296,223.2,228.0,185710777,0.0,1.0
TSLA,2023-06-08 00:00:00+00:00,234.86,235.23,223.01,224.22,164489739,234.86,235.23,223.01,224.22,164489739,0.0,1.0
TSLA,2023-06-09 00:00:00+00:00,244.4,252.42,242.02,249.07,200242371,244.4,252.42,242.02,249.07,200242371,0.0,1.0
TSLA,2023-06-12 00:00:00+00:00,249.83,250.97,244.59,247.94,150740523,249.83,250.97,244.59,247.94,150740523,0.0,1.0
TSLA,2023-06-13 00:00:00+00:00,258.71,259.68,251.34,253.51,162384343,258.71,259.68,251.34,253.51,162384343,0.0,1.0
TSLA,2023-06-14 00:00:00+00:00,256.79,261.57,250.5,260.17,170575536,256.79,261.57,250.5,260.17,170575536,0.0,1.0
TSLA,2023-06-15 00:00:00+00:00,255.9,258.95,247.29,248.4,160171238,255.9,258.95,247.29,248.4,160171238,0.0,1.0
TSLA,2023-06-16 00:00:00+00:00,260.54,263.6,257.2091,258.92,167915649,260.54,263.6,257.2091,258.92,167915649,0.0,1.0
TSLA,2023-06-20 00:00:00+00:00,274.45,274.75,261.12,261.5,165611217,274.45,274.75,261.12,261.5,165611217,0.0,1.0
TSLA,2023-06-21 00:00:00+00:00,259.46,276.99,257.78,275.13,211797109,259.46,276.99,257.78,275.13,211797109,0.0,1.0
TSLA,2023-06-22 00:00:00+00:00,264.61,265.0,248.25,250.77,166875944,264.61,265.0,248.25,250.77,166875944,0.0,1.0
TSLA,2023-06-23 00:00:00+00:00,256.6,262.45,252.8,259.29,177460803,256.6,262.45,252.8,259.29,177460803,0.0,1.0
TSLA,2023-06-26 00:00:00+00:00,241.05,258.37,240.7,250.065,179990552,241.05,258.37,240.7,250.065,179990552,0.0,1.0
TSLA,2023-06-27 00:00:00+00:00,250.21,250.3899,240.85,243.24,164968214,250.21,250.3899,240.85,243.24,164968214,0.0,1.0
TSLA,2023-06-28 00:00:00+00:00,256.24,259.88,248.89,249.7,159770797,256.24,259.88,248.89,249.7,159770797,0.0,1.0
TSLA,2023-06-29 00:00:00+00:00,257.5,260.74,253.61,258.03,131283360,257.5,260.74,253.61,258.03,131283360,0.0,1.0
