close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
248.42,251.25,244.41,250.08,104654163,248.42,251.25,244.41,250.08,104654163,0.0,1.0
238.45,245.68,236.32,244.98,121082599,238.45,245.68,236.32,244.98,121082599,0.0,1.0
237.93,242.7,237.73,239.25,102629283,237.93,242.7,237.73,239.25,102629283,0.0,1.0
237.49,240.1196,234.9001,236.86,92240035,237.49,240.1196,234.9001,236.86,92240035,0.0,1.0
240.45,241.25,235.3,236.14,85166580,240.45,241.25,235.3,236.14,85166580,0.0,1.0
234.96,238.9646,232.04,238.11,96705664,234.96,238.9646,232.04,238.11,96705664,0.0,1.0
233.94,235.5,231.29,235.1,91628502,233.94,235.5,231.29,235.1,91628502,0.0,1.0
227.22,230.93,225.37,230.57,105873612,227.22,230.93,225.37,230.57,105873612,0.0,1.0
218.89,225.34,217.1501,220.08,123043812,218.89,225.34,217.1501,220.08,123043812,0.0,1.0
219.91,223.49,212.18,215.1,115355046,219.91,223.49,212.18,215.1,115355046,0.0,1.0
215.55,215.67,212.01,214.86,103164400,215.55,215.67,212.01,214.86,103164400,0.0,1.0
211.88,217.45,208.74,216.88,108595431,211.88,217.45,208.74,216.88,108595431,0.0,1.0
212.19,213.19,207.56,209.99,102260343,212.19,213.19,207.56,209.99,102260343,0.0,1.0
208.8,217.8,206.27,212.26,117952527,208.8,217.8,206.27,212.26,117952527,0.0,1.0
209.14,215.65,207.7516,211.3,106605946,209.14,215.65,207.7516,211.3,106605946,0.0,1.0
207.83,212.73,206.77,211.88,112930989,207.83,212.73,206.77,211.88,112930989,0.0,1.0
182.63,193.0,180.06,189.7,198076787,182.63,193.0,180.06,189.7,198076787,0.0,1.0
183.25,186.78,182.1,185.5,107343231,183.25,186.78,182.1,185.5,107343231,0.0,1.0
190.93,191.48,183.67,185.63,125013148,190.93,191.48,183.67,185.63,125013148,0.0,1.0
191.59,196.3593,190.61,195.33,109982327,191.59,196.3593,190.61,195.33,109982327,0.0,1.0
187.29,193.97,185.8459,186.995,103221430,187.29,193.97,185.8459,186.995,103221430,0.0,1.0
188.86,189.88,184.28,188.5,91843275,188.86,189.88,184.28,188.5,91843275,0.0,1.0
187.91,188.69,182.0,185.04,110612672,187.91,188.69,182.0,185.04,110612672,0.0,1.0
181.06,184.68,175.01,184.26,134294447,181.06,184.68,175.01,184.26,134294447,0.0,1.0
185.1,186.49,177.11,177.21,122675954,185.1,186.49,177.11,177.21,122675954,0.0,1.0
187.58,189.79,182.68,188.18,111535217,187.58,189.79,182.68,188.18,111535217,0.0,1.0
189.56,191.6171,185.58,189.0,83034043,189.56,191.6171,185.58,189.0,83034043,0.0,1.0
